neighbourhood,review_scores_rating,review_scores_value,review_scores_cleanliness,review_scores_communication,review_scores_location,price_day,min_price,max_price,listingcount,Entire home/apt,Private room,Shared room
Banyule,94.7,9.6,6.4,8.1,9.4,107.02,20,1400,202,160,57,47
Bayside,95.6,9.5,9,9.8,8.4,233.05,23,2380,376,298,91,53
Boroondara,93.9,9.5,5.9,8.7,9.7,162.56,25,8001,683,228,98,70
Brimbank,90.8,9.2,9.1,9.6,9.1,87.07,20,751,129,170,51,50
Cardinia,96.8,9.7,8.3,6.9,9,170.22,26,600,130,211,110,195
Casey,93.1,9.4,7.9,9.8,8.5,202.91,18,12500,159,472,72,52
Darebin,94.9,9.6,9.4,7.5,9.6,126.54,13,12624,679,168,78,85
Frankston,95.6,9.6,9.7,9.9,9.8,161.02,26,1601,178,203,100,26
Glen Eira,94.5,9.5,9.4,9.7,9.6,124.12,20,979,623,176,65,30
Greater Dandenong,89.7,9.1,7.5,9.3,8.8,101.16,20,3000,153,249,61,44
Hobsons Bay,95.1,9.6,9.6,9.8,9.6,132.5,23,999,230,169,79,82
Hume,93.6,9.5,9.4,9.8,9.4,110.96,13,699,167,206,66,64
Kingston,93,9.4,9.4,9.7,9.5,143.7,18,2061,309,198,72,82
Knox,92.9,9.5,9.4,9.6,9.4,113.37,16,2000,174,162,88,47
Manningham,92.9,9.4,9.3,9.6,9.5,162.39,31,3400,338,225,96,45
Maribyrnong,93.9,9.5,9.4,9.8,9.3,107.04,16,795,441,153,60,50
Maroondah,93.4,9.6,9.3,9.7,9.4,101.36,26,300,109,152,66,36
Melbourne,92.9,9.3,9.3,9.6,9.8,179.48,37,9999,7347,211,96,52
Melton,92.8,9.3,9.3,9.5,9.2,100.11,26,650,96,153,63,75
Monash,91.7,9.3,9,9.6,9.4,102.28,43,1188,605,204,60,48
Moonee Valley,94.3,9.5,9.4,9.7,9.5,110.89,20,999,333,157,74,41
Moreland,95.1,9.6,9.5,7,9.6,134.99,18,9999,939,193,65,65
Nillumbik,97.4,9.8,8.8,9.9,7.5,189.77,21,1500,102,190,190,
Port Phillip,94.9,9.5,9.5,9.8,6.5,172.21,18,5000,2858,202,82,47
Stonnington,94.5,9.5,8.1,9.8,9.8,178.56,49,9999,1545,218,83,85
Whitehorse,91.8,9.2,9.2,7.1,9.4,103.56,55,1420,607,145,71,33
Whittlesea,95.1,9.5,6.4,7.8,9.4,83.75,20,820,142,189,59,36
Wyndham,94,9.6,9.1,5.5,8.5,104.41,13,2000,449,192,69,57
Yarra,95.7,9.6,9,9.8,7.2,147.24,20,1800,2011,182,78,37
Yarra Ranges,96.8,9.6,9,9.9,7,246.79,61,1901,795,276,138,36
